recipe_id,ingredient_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
2,13
2,4
2,7
2,14
2,15
2,16
2,17
2,18
2,19
2,10
2,20
2,12
3,4
3,21
3,7
3,8
3,6
3,22
3,9
3,23
3,11
3,24
3,25
3,12
3,26
4,27
4,13
4,28
4,29
4,26
5,30
5,13
5,31
5,32
6,27
6,13
6,28
6,33
6,11
6,34
7,35
8,27
8,3
8,28
8,33
8,11
8,36
8,37
9,38
9,39
9,33
10,40
10,41
10,42
10,43
10,44
10,45
11,38
11,43
11,41
12,46
12,13
13,27
13,47
13,3
13,28
13,48
13,49
13,11
14,13
14,40
14,28
14,33
14,44
15,13
15,50
15,4
15,15
15,51
15,52
15,20
15,12
15,53
16,54
16,55
16,56
16,23
16,11
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
17,26
18,50
18,5
18,6
18,8
18,66
18,33
18,9
18,51
18,11
18,12
19,67
19,68
19,33
19,22
19,9
19,69
19,70
19,23
19,71
20,47
20,4
20,72
20,7
20,14
20,20
20,11
20,12
20,53
21,73
22,67
22,13
22,74
22,64
22,75
22,58
22,61
22,6
22,28
22,8
22,48
22,62
22,63
22,76
22,12
22,65
23,77
23,13
23,78
23,59
23,4
23,61
23,6
23,17
23,8
23,14
23,16
23,79
23,29
23,23
23,43
23,80
24,13
24,28
24,81
25,82
25,83
25,4
25,6
25,8
25,23
25,19
25,11
26,13
26,84
26,6
26,8
26,9
27,19
27,85
28,86
28,50
28,84
28,87
28,8
28,68
28,9
28,19
28,88
28,89
28,63
28,90
28,91
28,61
28,92
28,33
28,93
28,94
28,6
28,79
28,95
28,23
28,96
28,11
29,50
29,4
29,61
29,6
29,92
29,8
29,33
29,9
29,95
29,23
29,97
29,98
30,6
30,8
30,33
30,23
30,99
31,100
31,13
31,99
32,94
32,6
32,42
32,8
32,33
32,101
32,9
32,23
32,102
32,103
32,24
32,104
33,78
33,5
33,6
33,9
33,23
33,85
34,86
34,13
34,93
34,50
34,4
34,6
34,8
34,16
34,33
34,51
34,23
34,11
34,12
35,57
35,78
35,100
35,94
35,21
35,5
35,89
35,16
35,33
35,105
35,9
35,23
35,98
35,106
35,53
36,4
36,6
36,8
36,107
36,70
36,23
37,6
37,8
37,33
37,9
37,95
37,23
37,80
38,86
38,5
38,6
38,79
38,8
38,9
38,23
38,80
39,108
39,69
39,109
39,110
39,111
39,112
39,26
39,11
40,78
40,3
40,113
40,114
40,99
40,97
40,88
40,115
41,116
41,117
41,3
41,91
41,61
41,118
41,9
41,23
41,11
42,119
42,28
42,42
42,120
42,49
42,121
42,43
42,122
43,67
43,27
43,123
43,124
43,78
43,59
43,72
43,6
43,8
43,16
43,29
43,63
43,73
43,98
43,20
43,24
43,115
43,26
44,86
44,83
44,62
44,23
44,20
45,93
45,4
45,5
45,94
45,6
45,28
45,8
45,61
45,33
45,9
45,23
45,25
45,125
46,27
46,117
46,3
46,28
46,126
46,49
46,127
46,11
47,13
47,50
47,84
47,8
47,48
47,64
47,26
47,89
47,59
47,61
47,128
47,103
47,65
47,67
47,100
47,6
47,62
47,23
47,11
47,115
47,12
48,4
48,24
48,11
49,49
49,28
49,11
50,6
50,8
50,62
50,9
50,98
51,13
51,3
51,28
51,129
51,11
52,119
52,130
52,131
52,28
52,49
52,121
52,11
53,3
53,132
53,108
53,49
53,106
53,133
54,75
55,4
55,13
55,12
55,11
56,13
56,8
56,56
56,9
56,5
56,21
56,42
56,63
56,125
56,4
56,33
56,134
56,100
56,6
56,28
56,135
56,23
56,96
56,24
56,12
57,13
57,136
57,6
57,28
57,8
57,48
57,62
57,23
57,11
57,24
58,50
58,137
58,61
58,6
58,138
58,8
58,55
58,9
58,98
58,129
58,24
58,88
59,139
59,61
59,33
59,9
59,23
59,102
59,96
59,140
59,75
59,104
60,74
60,59
60,6
60,8
60,89
60,62
60,64
60,12
60,65
61,49
61,141
61,126
62,94
62,6
62,8
62,99
62,142
62,24
63,3
63,132
63,4
63,28
63,129
63,11
64,100
64,5
64,6
64,8
64,33
64,56
64,9
64,23
64,96
64,88
65,27
65,119
65,3
65,28
65,49
66,86
66,3
66,28
66,49
66,18
66,11
67,50
67,61
67,28
67,51
67,23
67,143
68,3
68,15
68,108
68,144
68,11
68,37
69,117
69,107
69,145
69,44
69,11
69,88
70,57
70,8
70,16
70,101
70,9
70,5
70,146
70,104
70,78
70,131
70,33
70,20
70,82
70,2
70,3
70,94
70,6
70,23
70,147
70,12
71,33
71,101
71,23
71,73
71,11
72,86
72,13
72,31
72,50
72,6
72,8
72,16
72,33
72,51
72,9
72,73
72,11
72,12
73,13
73,5
73,6
73,92
73,8
73,16
73,33
73,9
73,73
73,125
74,67
74,3
74,6
74,28
74,8
74,148
74,108
74,33
74,9
74,101
74,23
74,73
75,54
75,117
75,93
75,3
75,6
75,8
75,55
75,33
75,9
75,23
76,50
76,6
76,79
76,8
76,107
76,23
76,80
77,27
77,49
77,28
78,149
78,124
78,83
78,79
78,17
78,150
78,16
78,9
78,144
78,69
78,23
78,20
79,28
79,33
80,13
80,61
80,94
80,6
80,8
80,142
81,13
81,28
81,33
81,120
81,49
81,121
82,117
82,4
82,5
82,17
82,68
82,9
82,99
82,80
82,151
83,67
83,50
83,152
83,4
83,5
83,92
83,6
83,8
83,16
83,33
83,51
83,9
83,23
83,121
83,11
83,24
84,62
84,95
84,31
85,86
85,40
85,153
85,28
85,8
85,39
85,33
85,43
85,44
85,154
86,124
86,78
86,4
86,6
86,8
86,29
86,114
86,70
86,23
86,18
86,20
86,24
86,12
87,116
87,79
87,155
87,102
87,156
87,88
88,6
88,55
88,9
88,23
88,109
88,98
88,24
88,12
89,3
89,28
89,126
89,11
90,27
90,117
90,83
90,4
90,157
90,23
90,52
90,11
90,88
90,12
91,74
91,158
91,17
91,89
91,126
91,43
92,159
92,21
92,17
92,131
92,160
92,89
92,9
92,70
92,161
92,23
92,162
92,12
92,163
93,78
93,59
93,100
93,4
93,21
93,17
93,8
93,6
93,5
93,68
93,70
93,23
93,80
93,12
93,125
94,27
94,74
94,78
94,72
94,6
94,8
94,62
94,29
94,144
94,43
94,103
94,73
94,106
94,64
94,115
94,65
95,86
95,50
95,31
95,4
95,6
95,8
95,55
95,51
95,9
95,23
95,19
95,112
96,59
96,17
96,8
96,164
97,119
97,165
97,92
97,131
97,8
97,6
97,79
97,166
97,9
97,23
97,43
98,13
98,50
98,74
98,119
98,59
98,4
98,6
98,28
98,48
98,51
98,62
98,23
98,63
98,129
98,64
98,65
98,12
98,26
99,6
99,79
99,8
99,23
99,73
99,11
100,50
100,31
100,74
100,3
100,28
100,16
100,62
100,23
100,63
100,129
100,64
100,65
100,25
100,12
100,26
101,50
101,31
101,167
101,5
101,94
101,128
101,6
101,8
101,51
101,9
101,23
101,99
101,20
101,24
101,147
102,50
102,168
102,28
102,33
103,27
103,57
103,78
103,28
103,108
103,62
103,114
103,23
103,63
103,11
103,88
103,37
104,86
104,4
104,5
104,91
104,6
104,131
104,8
104,16
104,89
104,61
104,9
104,23
104,43
105,50
105,93
105,4
105,105
105,14
105,33
105,51
105,23
105,12
105,169
106,149
106,50
106,61
106,5
106,6
106,79
106,89
106,8
106,51
106,9
106,23
106,43
106,96
106,127
106,26
106,90
107,1
107,86
107,2
107,4
107,5
107,6
107,92
107,8
107,9
107,23
107,19
107,11
107,12
107,169
108,27
108,89
108,46
108,9
108,11
109,119
109,33
109,9
109,23
109,147
110,86
110,50
110,31
110,5
110,6
110,8
110,51
110,70
110,23
110,73
111,1
111,92
111,125
112,8
112,16
112,64
112,26
112,1
112,165
112,36
112,78
112,59
112,61
112,46
112,65
112,67
112,31
112,170
112,6
112,28
112,62
112,23
112,129
113,124
113,171
113,74
113,3
113,28
113,126
113,120
113,49
113,20
113,11
114,47
114,3
114,17
114,28
114,9
114,18
114,110
114,99
114,88
114,172
115,59
115,17
115,14
115,28
115,33
115,120
115,49
115,146
115,11
116,1
116,50
116,93
116,4
116,6
116,28
116,8
116,51
116,62
116,23
116,11
116,64
116,45
116,12
116,65
117,50
117,93
117,59
117,61
117,17
117,28
117,9
117,23
117,43
117,73
117,173
118,50
118,2
118,3
118,4
118,7
118,51
118,9
118,23
118,52
118,85
118,11
118,12
119,86
119,3
119,4
119,55
119,33
119,174
119,9
119,23
119,102
119,146
119,19
119,10
119,88
119,169
120,67
120,27
120,123
120,163
120,78
120,58
120,59
120,100
120,6
120,28
120,8
120,89
120,175
120,29
120,63
120,115
120,26
121,31
121,26
121,125
121,3
121,6
121,62
121,176
121,10
121,64
121,65
121,53
121,169
122,23
122,12
122,26
123,61
123,5
123,68
123,33
123,9
123,144
123,23
123,19
123,11
123,12
124,119
124,59
124,60
124,6
124,8
124,62
124,23
124,63
124,103
124,98
124,24
124,12
124,26
125,67
125,78
125,3
125,4
125,5
125,21
125,6
125,8
125,24
125,61
125,22
125,9
125,70
125,23
125,71
125,76
125,80
125,125
126,67
126,54
126,1
126,74
126,78
126,61
126,7
126,48
126,28
126,177
126,33
126,62
126,63
126,64
126,65
126,26
127,50
127,178
127,93
127,61
127,92
127,7
127,28
127,9
127,23
127,73
127,173
127,88
127,71
128,3
128,28
128,108
128,11
128,37
128,53
129,3
129,17
129,131
129,14
129,108
129,179
129,29
129,144
129,110
129,99
129,111
130,67
130,78
130,59
130,4
130,128
130,6
130,8
130,28
130,62
130,142
130,10
130,115
130,169
131,1
131,31
131,78
131,64
131,59
131,4
131,17
131,62
131,180
131,23
131,76
131,65
131,26
132,86
132,153
132,79
132,89
132,33
132,121
132,43
132,45
133,117
133,57
133,167
133,4
133,66
133,174
133,33
133,181
133,88
133,172
133,53
133,182
134,74
134,144
134,106
134,111
134,112
135,67
135,78
135,2
135,59
135,6
135,128
135,8
135,48
135,28
135,62
135,63
135,19
135,103
135,115
136,1
136,86
136,50
136,4
136,92
136,7
136,6
136,28
136,51
136,62
136,23
136,11
136,64
136,12
136,65
136,125
137,57
137,50
137,8
137,16
137,142
137,1
137,5
137,21
137,17
137,125
137,4
137,61
137,33
137,70
137,99
137,163
137,100
137,94
137,6
137,62
137,23
137,11
138,117
138,93
138,183
138,3
138,184
138,62
138,23
138,52
138,11
139,74
139,92
139,89
139,9
139,110
140,124
140,179
140,9
140,144
140,23
140,20
141,3
141,179
141,28
141,126
141,33
141,49
141,69
141,129
141,11
142,78
142,61
142,5
142,6
142,21
142,8
142,9
142,23
142,125
143,117
143,3
143,72
143,6
143,33
143,9
143,23
143,24
144,6
144,8
144,23
144,99
144,181
145,50
145,83
145,3
145,127
145,130
145,17
145,8
145,126
145,28
145,51
145,49
145,11
145,133
146,13
146,28
146,17
146,126
146,49
146,11
147,124
147,3
147,4
147,23
147,20
147,37
148,185
148,17
148,131
148,8
148,164
148,33
148,28
148,49
148,186
148,162
148,11
149,108
150,49
150,28
150,119
151,13
151,4
151,5
151,6
151,89
151,16
151,33
151,22
151,9
151,101
151,23
151,187
152,86
152,119
152,8
152,16
152,188
152,117
152,137
152,183
152,5
152,4
152,103
152,2
152,6
152,7
152,23
152,10
152,24
152,12
152,71
153,47
153,3
153,28
153,29
153,49
153,11
153,71
154,3
154,132
154,115
154,27
155,27
155,13
155,31
155,50
155,5
155,6
155,55
155,9
155,23
155,11
155,88
156,50
156,61
156,5
156,7
156,16
156,22
156,9
156,23
156,63
156,26
157,3
157,17
157,28
157,49
157,162
157,111
157,11
158,46
158,9
158,117
158,79
159,82
159,42
159,55
159,33
159,9
159,24
159,88
159,169
160,13
160,50
160,189
160,6
160,33
160,51
160,9
160,23
160,11
160,53
161,27
161,3
161,28
161,33
161,11
162,83
162,3
162,185
162,17
162,8
162,126
162,89
162,179
162,28
162,49
162,11
162,141
162,129
163,117
163,78
163,3
163,4
163,128
163,7
163,16
163,166
163,9
163,23
163,115
164,86
164,117
164,31
164,3
164,4
164,7
164,107
164,23
164,73
164,10
164,11
164,24
164,190
165,82
165,4
165,5
165,6
165,8
165,55
165,33
165,56
165,9
165,95
165,23
165,97
165,96
165,169
166,86
166,5
166,6
166,79
166,8
166,66
166,9
166,23
166,103
166,85
167,78
167,119
167,4
167,21
167,6
167,8
167,9
167,114
167,23
167,18
167,129
167,76
167,88
167,12
168,74
168,78
168,58
168,191
168,59
168,61
168,6
168,8
168,16
168,177
168,89
168,48
168,23
168,62
168,64
168,65
168,115
168,26
169,86
169,61
169,6
169,14
169,8
169,28
169,174
169,9
169,23
169,127
169,88
170,27
170,132
170,14
170,28
170,33
170,11
170,192
171,86
171,50
171,5
171,33
171,51
171,23
171,11
171,12
172,86
172,124
172,3
172,4
172,55
172,174
172,9
172,23
172,109
172,96
172,20
172,88
173,77
173,13
173,119
173,17
173,131
173,33
173,49
173,11
173,26
174,9
174,88
174,55
174,15
175,27
175,3
175,55
175,23
175,193
175,52
175,88
176,149
176,86
176,124
176,31
176,50
176,3
176,5
176,6
176,8
176,55
176,51
176,9
176,70
176,23
176,73
176,19
176,106
